2025-06-15 11:05:00 - SYSTEM - Activity tracking started
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1587, Y: 1045
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1588, Y: 1043
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1589, Y: 1042
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1589, Y: 1041
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1590, Y: 1040
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1590, Y: 1039
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1590, Y: 1038
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1591, Y: 1035
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1591, Y: 1034
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1591, Y: 1034
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1592, Y: 1033
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1592, Y: 1032
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1593, Y: 1031
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1593, Y: 1030
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1593, Y: 1029
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1593, Y: 1029
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1594, Y: 1028
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1595, Y: 1027
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1596, Y: 1026
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1596, Y: 1025
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1597, Y: 1025
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1597, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1598, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1598, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1598, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1599, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1600, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1600, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1601, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1602, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1603, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1603, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1604, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1604, Y: 1024
2025-06-15 11:05:08 - MOUSE_MOVE - X: 1605, Y: 1024
2025-06-15 11:05:09 - MOUSE_MOVE - X: 1605, Y: 1024
2025-06-15 11:05:09 - MOUSE_MOVE - X: 1606, Y: 1024
2025-06-15 11:05:09 - MOUSE_MOVE - X: 1607, Y: 1024
